Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Czech Republic,CZE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,81.67915763,91.57430965,87.00808458,89.55500156,94.27357901,100.1696401,87.26411543,88.51698113,95.84578997,100.5764855,127.6651885,128.2530962,128.8113268,152.698023
Denmark,DNK,Arable land (hectares),AG.LND.ARBL.HA,2276000,2266000,2269000,2332000,2347000,2306000,2402000,2431000,2421000,2499000,2418000,2407600,2432000,2351000
Denmark,DNK,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,97.55843585,136.4002648,144.7844866,137.1170669,138.5811674,142.4119688,147.6761032,102.9181407,113.7121024,112.8487395,107.1133168,116.2601761,123.5657895,132.4866014
Djibouti,DJI,Arable land (hectares),AG.LND.ARBL.HA,1000,1000,1000,1000,1300,1500,1200,1300,1600,2000,2000,2000,2000,2000
Djibouti,DJI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,Arable land (hectares),AG.LND.ARBL.HA,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000
Dominica,DMA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,86.6,148.2,198.6,207.8,134.2,276,44.6,58.16666667,52.16666667,150.1666667,84.825,122.6133333,100.95,149.0266667
Dominican Republic,DOM,Arable land (hectares),AG.LND.ARBL.HA,898000,820000,820000,820000,820000,820000,800000,800000,800000,800000,800000,800000,800000,800000
Dominican Republic,DOM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,73.39309577,52.24268293,59.17317073,58.2402439,80.46707317,94.75731707,80.39875,80.56,107.00625,94.15625,74.46375,79.7825,88.16875,103.0023375
Early-demographic dividend,EAR,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,84.37498499,89.412146,95.84975298,100.4164468,105.1071892,108.9080784,109.5142911,115.3671491,122.1714076,124.4121647,122.1108751,122.4759041,127.3874764,128.2881642
East Asia & Pacific,EAS,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,246.1488782,258.3475183,268.3237929,269.5404826,282.7544905,301.1666739,301.123829,302.5488917,319.3603854,321.4824544,334.5285532,343.5377395,347.8051247,327.9483654
East Asia & Pacific (excluding high income),EAP,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,289.8164583,304.4950492,316.6184083,319.1561107,..,..,..,..,..,..,407.8083223,418.8296244,424.0730148,391.5638938
Ecuador,ECU,Arable land (hectares),AG.LND.ARBL.HA,1360000,1299000,1277000,1296000,1233000,1195000,1236000,1199400,1186400,1155700,1147900,1194000,1017700,1067400
Ecuador,ECU,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,167.6220588,156.8221709,217.5293657,150.8294753,207.7899432,199.1062762,214.1197411,187.2786393,252.070971,275.355196,254.7435404,236.1709883,369.8507419,313.6256886
"Egypt, Arab Rep.",EGY,Arable land (hectares),AG.LND.ARBL.HA,2936000,2906000,2965000,2563000,2605000,2564000,2642000,2884000,2873000,2808000,2829000,2738000,2670000,2895860
"Egypt, Arab Rep.",EGY,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,432.5326975,627.7505162,557.5939292,672.8833398,492.1232246,521.7874415,696.5931113,502.8252427,602.9864253,602.8668091,573.0697207,666.7585829,724.2359551,645.4574807
El Salvador,SLV,Arable land (hectares),AG.LND.ARBL.HA,690000,681000,694000,702000,604000,630000,683000,678000,673000,691000,720000,730000,750000,750000
El Salvador,SLV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,71.64057971,78.18649046,86.69740634,130.6011396,108.7731788,152.6095238,127.8989751,117.3215339,179.3551263,186.7843705,141.7094306,140.8837808,125.5768267,134.8597333
Equatorial Guinea,GNQ,Arable land (hectares),AG.LND.ARBL.HA,130000,130000,130000,130000,130000,130000,130000,120000,120000,120000,120000,120000,120000,120000
