Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Sierra Leone,49.21,49.41,51.57,53.01,56.23,58.08,60.15,60.03,60.12,62.16,64.02,64.69,65.81,66.72,67.8,70.02,72.6,73.57,72.96,75.78,78.59,80.02,79.08,76.06,80.78,81.23,83.45,84.81,86.63,100.13,100,97.77,100.18,100.51,96.34,96.91,98.95,96.73,89.37,84.07,91.22,99.89,117.46,132.31,139.13,155.61,142.97,151.61,163.3,175.55,182.4,180.93,191.73,190.38
Togo,44.41,45.91,49.33,52.54,56.61,60.48,59.73,58.49,55.3,59.54,59.35,56.83,58.7,57.37,59.02,60.54,62.56,65.04,69.45,69.38,69.8,72.28,72.7,79.23,80.75,85.23,87.69,97.27,102.55,107.3,100,97.38,103.96,104.52,101.22,116.87,119.38,123.26,123.57,125.47,127.6,130.73,134.28,136.52,140.81,146.33,146.28,149.97,158.97,164.7,167.61,186.43,195.68,200.24
Bahamas ,70.99,70.64,71.68,75.75,75.8,78.54,77.24,80.37,77.69,74.66,75.93,75.36,84.63,77.98,72.8,77.49,83.2,77.81,73.8,75.39,81.78,81.72,82.12,84.93,90.54,90.33,90.53,91.3,103.76,101.53,100,94.22,92.44,87.65,107.86,108.62,113.09,129.82,110.04,118.65,116.53,120.76,113.61,113.75,108.81,107.17,110.16,101.9,130.34,132.26,128.81,128.73,129.54,115.21
Cuba,52.51,55.35,58.54,62.83,61.76,62.03,65.49,71.08,75.98,81.63,81.2,82.07,85.06,85.07,87.54,88.23,94.16,93.43,95.9,96.23,93.93,95.36,95.16,96.66,97.13,99.51,101.52,102.47,104,103.11,100,97.34,93.12,92.71,92.83,90.23,91.44,88.43,89.27,88.98,89.64,88.88,87.41,86.24,87.54,86.03,85.64,86.09,83.73,82.88,84.31,82.9,83.24,83.8
Dominican Republic,58.19,58.79,59.74,60.95,61.94,63.28,64.37,64.95,67.92,69.37,72.53,74.64,76.77,80.52,80.21,82.08,83.89,84.46,84.87,86.37,85.14,86.64,90.58,92.14,92.53,93.08,96.21,96.57,98.96,98.23,100,99.86,100.9,99.8,100.44,101.52,101.73,99.64,97.32,96.8,98.99,106.45,103.54,104.38,105.13,108.94,109.83,107.2,107.75,109.72,108.05,105.92,104.3,104.59
Haiti,85.73,86.89,88.17,89.79,90.81,90.9,92.71,93.81,95.15,96.45,98.47,95.69,95.17,95.48,95.15,96.14,97.6,98.84,100.24,101.43,102.31,103.16,104.57,106.67,106.71,107.77,107.94,107.72,107.65,102.46,100,102.54,98.76,99.15,94.86,96.98,100.87,104.25,102.67,108.72,109.45,112.73,113.69,113.26,113.16,110.8,116.71,111.2,120.8,120.26,119.85,116.9,121.63,120.69
Jamaica,77.25,77.52,78.49,82.78,82.49,84.16,75.61,75.96,76.48,76.12,78.86,79.91,81.47,84.06,86.67,88.23,89.62,90.01,89.8,91.47,91.97,92.2,94.64,95.9,93.43,95.19,96.47,95.17,95.78,99.2,100,105.39,108.28,106.36,105.68,105.69,106.7,106.27,105.84,106.39,106.45,109.9,111.08,109.12,103.66,99.14,95.26,87.86,88.83,89.69,91.53,88.94,91.3,89.09
Lesser Antilles,92.68,92.67,95.38,95.1,93.29,93.57,94.61,94.91,94.07,94.25,95.84,97.01,96.66,96.66,96.39,98.72,98.8,100.29,100.62,100.54,102.02,101.71,102.3,104.5,108,107.84,107.82,103.17,102.23,99.41,100,98.99,96.84,98.19,97.04,102.86,105.45,102.53,103.18,100.4,100.4,102.98,103.13,99.43,92,89.71,90.28,87.7,86.62,86.99,87.79,86.29,87.39,82.48
Puerto Rico (USA),176.54,173.55,174.32,168.36,174,166.02,159.53,155.56,151.15,145.85,141.03,137.5,130.22,127.91,126.85,126.46,125.31,122.77,118.04,107.78,106.65,106.93,105.29,106.46,103.41,103.26,100.08,103.23,102.39,101.23,100,90.87,86.07,84.97,83.77,83.29,83.54,86.52,84.7,83.9,83.7,83.36,82.38,79.34,81.57,79.18,78.99,77.83,76.2,75.92,74.49,72.96,71.18,71.19
Trinidad and Tobago,73.23,78.27,78.87,79.01,80.56,78.61,79.59,81.11,82.61,83.38,84.38,86.84,89.47,90.23,90.12,91.73,92.16,93.13,94.25,88.46,95.42,96,92.93,93.01,91.48,90.85,91.59,88.36,94.63,98.42,100,100.97,100.32,97.37,101.04,103.27,101.65,98.95,97.9,103.02,103.98,110.26,105,106.59,105.52,106.7,106.84,112.37,105.49,107.26,109.62,111.09,111.57,111.35
Belize,43.18,43.95,45.85,47.86,48.31,49.68,52.65,53.72,54.49,56.96,59.23,59.91,61.46,62.02,63.84,66.1,66.22,67.33,68.98,70.68,72.5,72.82,73.73,75.27,76.08,77.28,84.22,86.19,87.63,94.49,100,106.22,106.62,104.18,100.93,106.19,106.9,109.16,114.88,112.65,118.8,124.47,126.02,120.81,119.31,121.55,127.15,130.06,136.99,141.62,145.25,149.04,159.73,154.52
Costa Rica,65.29,66.59,68.09,69.39,70.64,71.52,72.5,74.13,75.48,76.28,78,78.15,80.05,80.92,82.69,84.06,86.04,89.05,91.01,92.4,95.35,94.5,97.36,98.77,97.64,97.65,98.57,99.72,99.99,101.52,100,101.06,100.24,104.17,100.9,102.56,103.81,104.89,103.4,102.55,100.1,100.55,100.14,98.68,99.81,101.59,105.27,105.1,105.77,107.7,109.97,108.55,108.56,110.52
El Salvador,68.78,70,72.46,73.92,73.36,74.41,75.9,76.91,78.9,79.63,82.73,84.7,85.37,87.09,88.01,89.15,92.91,97.05,98.79,97.02,93.06,89.26,89.24,88.14,91.83,93.02,94.72,96.51,97.42,98.72,100,105.29,104.38,104.87,103.95,106.44,104.59,101.86,103.61,107.51,110.46,111.53,110.71,112.83,113.01,112.55,113.77,116.04,112.53,110.82,107.57,110.87,105.51,108.66
Guatemala,60.82,62.34,63.97,65.11,65.57,67.85,68.28,70.89,71,72.88,73.85,76.44,78.94,80.24,80.47,80.46,84.25,85.5,86.63,89.27,89.42,88.82,91.4,91.31,91.71,92.21,93.3,94.76,96.68,98.02,100,104.42,106.78,106.45,107.23,107.64,109.59,112.27,113.29,115.2,119.7,122.88,128.81,131.17,131.55,137.58,142.43,141.63,142.61,147.11,147.65,145.49,146.52,147.91
