Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2006,3.13
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2007,3.12
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2008,3.31
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2009,3.27
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2010,3.33
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2011,3.39
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2012,3.39
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2013,3.38
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2014,3.39
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2000,5.62
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2001,5.54
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2002,5.6
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2003,5.74
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2004,5.53
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2005,5.59
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2006,5.77
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2007,5.89
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2008,6.07
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2009,6.18
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2010,6.71
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2011,7
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2012,7.1
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2013,7.33
Domestic food price level index,FAO-21018-6125,Egypt,EGY,2014,7.47
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2000,6.09
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2001,6.12
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2002,6.1
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2003,6.1
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2004,6.16
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2005,6.31
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2006,6.3
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2007,6.34
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2008,6.52
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2009,6.07
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2010,4.22
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2011,4.26
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2012,4.18
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2013,4.27
Domestic food price level index,FAO-21018-6125,El Salvador,SLV,2014,4.28
Domestic food price level index,FAO-21018-6125,Estonia,EST,2000,2.68
Domestic food price level index,FAO-21018-6125,Estonia,EST,2001,2.74
Domestic food price level index,FAO-21018-6125,Estonia,EST,2002,2.72
Domestic food price level index,FAO-21018-6125,Estonia,EST,2003,2.64
Domestic food price level index,FAO-21018-6125,Estonia,EST,2004,2.65
Domestic food price level index,FAO-21018-6125,Estonia,EST,2005,2.66
Domestic food price level index,FAO-21018-6125,Estonia,EST,2006,2.69
Domestic food price level index,FAO-21018-6125,Estonia,EST,2007,2.73
Domestic food price level index,FAO-21018-6125,Estonia,EST,2008,2.78
